NUGGETS ID,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
562e4c6184e4bf00330000c3,1,98
564df5b45d050a002a00005b,1,98
564205bc360a15002700014d,3,98
5640af58873b200033000088,0,97
5617bce26530d4001b0000a9,1,97
55f9f002626463000dda0100,2,96
560e91273605d300190000cf,3,96
5612fb96b4d993003400002b,4,95
56533b2142d878002f0000ba,1,94
562153f79efda2002a0002c7,9,94
56151baa63fd0c0022000053,2,93
563d30d9f79d250021000081,4,93
564cb70bdc68bb00210001a9,6,92
5625125c533f590030000164,3,90
5616da608c7bae001b000110,1,89
5595ac39386639000c2c0500,1,89
563a277a603afb0029000071,1,89
56535e433965e00023000189,5,88
5641f6ed360a15002700012b,0,88
564ca71a703ea2001b00009f,7,87
5630d1f572e83d0026000066,1,87
5655356ecb3ed00018000035,4,86
561e56809fa9c10027000049,1,86
560ed5b8c4a1aa00190000c1,1,85
561d45976c67d40018000006,4,84
5637951173d8a3001b000000,2,84
564d92f37e42bb002d000000,3,82
56254f23f3f01f0027000203,1,82
563008360627350033000120,3,81
56291849258092001e00004f,0,81
560e9562da059800190000cb,1,80
5645031b25654500290000d8,0,80
565363711187820030000044,1,80
5626438c2dd3e900200000b0,0,80
5642332088ba7f001800023d,3,79
5642533588ba7f001e000336,2,79
56547b0f69d4800030000090,7,78
54cfac706262310011620000,5,78
561d4d974253e6001b000069,2,78
5601761f356439000dc90700,1,77
562a44c24bdd09001800006f,2,77
5616e99e6530d4001b000039,4,76
5654bd381b96ef001e000096,5,75
563cf61588876100300003ab,0,75
5617f5e798f11e003300022a,0,75
5640c8041f76e0001b0000a7,3,75
560ee78fa466e1001c00016a,2,74
561cfb9152d0550030000056,0,73
55245065313437002c0e0000,0,72
564b5d96020476001b0001fb,1,72
564600e41d04880024000165,1,71
56212b592c52bb00240001b0,0,70
5655d227cb3ed000300000b3,0,69
565259fd42d8780033000006,0,69
5473abad109cd638e100003f,0,68
561ad3cb38b74a001e000000,7,68
561417bba964d90030000000,0,67
562f8b5bb62e78001e000027,5,67
5617d5e96530d40018000117,10,67
5624ff2ff3f01f00300000bc,4,66
5601bec235616400251a0200,0,66
564571461d048800330000f5,1,66
5627b21230666a0033000130,1,65
564ce807dc68bb0021000343,0,65
5654cbea1b96ef001e0000f9,1,64
5653572442d8780021000179,0,64
560e142f03d62b001c000000,3,64
563b881899835f002100012c,0,63
563a42f3fbfc43002c00012c,0,63
56410676ee35090024000125,1,63
5638433c73d8a3002a00018e,0,61
5613d3058586e1002e000025,2,61
561e7c10c11f550021000169,1,60
56167bbf6fd2b9002a000079,0,60
55fae5ac62646374733b0100,1,58
5653410342d87800330000dc,0,58
5627b7d5de896b001a000169,3,58
56267b9e2dd3e9002f0001ec,3,57
560c83e462356200190c0000,0,57
5653559542d8780021000168,1,57
561ad79838b74a001b000006,0,57
56324b87a6eb0d0031000157,2,56
5645f1d5de1096002a000110,0,56
5632324d809c650030000077,3,56
561d3be9b9507f001e0000c8,0,56
564b9d5885758800210000af,1,54
563cd8bf001beb001e000265,2,54
5637bb525d2a7f001e000071,1,52
564215b988ba7f001e000188,3,52
563a236f603afb001b000060,1,50
5613ea448586e1001f0000fb,0,48
56169d796fd2b9001b000145,1,47
5653472042d878002f000107,1,44
5654da10edb4eb0021000033,1,42
563a2314603afb0024000042,3,41
565497fa514699001d00003e,0,41
564f712df743a3002a00039f,0,40
5655ee6c7750dd001e0002a7,1,40
564e2cc75d050a001e0001a7,2,38
563a6fe7fbfc4300240001b2,1,38
56265c3b2dd3e9002f0000f6,1,37
5640d0941f76e000330000f0,0,35
56424000360a1500270002ac,4,34
5655c6c77750dd003300006f,1,34
564f4186437ff0002400023c,2,28
561fd762800e57001b000065,1,28
56549641514699001800002c,1,27
56436c4f35095a002700019d,0,25
55f9ae5f6231660019640000,0,25
5612e13fb5bb9b002000013f,0,24
56535bf242d87800330001ae,1,20
